Car_id,Date,Customer Name,Gender,Annual Income,Dealer_Name,Company,Model,Engine,Transmission,Color,Price ($),Dealer_No ,Body Style,Phone,Dealer_Region
C_CND_000102,6-Jan-2022,Isabela,Female,760000,Ryder Truck Rental and Leasing,BMW,328i,Double Overhead Camshaft,Auto,Black,"$16,001.",06457-3834,Sedan,7159142,Middletown
C_CND_000103,6-Jan-2022,Ivan,Male,1390000,Gartner Buick Hyundai Saab,Toyota,Land Cruiser,Double Overhead Camshaft,Auto,Pale White,"$12,000.",38701-8047,SUV,7495544,Greenville
C_CND_000104,6-Jan-2022,Abel,Male,659000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Black,"$38,000.",06457-3834,Hardtop,6682438,Janesville
C_CND_000105,6-Jan-2022,Amira,Male,1330000,Ryder Truck Rental and Leasing,Ford,Explorer,Double Overhead Camshaft,Auto,Pale White,"$42,000.",06457-3834,Hatchback,7189696,Middletown
C_CND_000106,6-Jan-2022,Amirah,Male,13500,Saab-Belle Dodge,Nissan,Pathfinder,Double Overhead Camshaft,Auto,Pale White,"$21,000.",60504-7114,Hatchback,8844816,Aurora
C_CND_000107,6-Jan-2022,Mathias,Female,13500,Chrysler Plymouth,Volvo,C70,Double Overhead Camshaft,Auto,Black,"$49,000.",53546-9427,Hatchback,8002612,Janesville
C_CND_000108,6-Jan-2022,Noel,Male,1362000,Chrysler of Tri-Cities,Chevrolet,Prizm,Overhead Camshaft,Manual,Pale White,"$21,200.",99301-3882,Hardtop,6633882,Pasco
C_CND_000109,6-Jan-2022,Vanessa,Male,480000,Motor Vehicle Branch Office,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,"$71,000.",78758-7841,SUV,8884667,Middletown
C_CND_000110,6-Jan-2022,Vera,Female,365000,Nebo Chevrolet,Chevrolet,Camaro,Double Overhead Camshaft,Auto,Pale White,"$17,000.",06457-3834,Sedan,6759578,Aurora
C_CND_000111,9-Jan-2022,Isabella,Female,481000,Saab-Belle Dodge,Subaru,Outback,Double Overhead Camshaft,Auto,Pale White,"$57,001.",60504-7114,SUV,6376331,Aurora
C_CND_000112,9-Jan-2022,Isabelle,Male,700000,Scrivener Performance Engineering,Buick,Park Avenue,Double Overhead Camshaft,Auto,Pale White,"$62,001.",38701-8047,Hatchback,6729016,Greenville
C_CND_000113,9-Jan-2022,Isis,Male,1350000,Star Enterprises Inc,Ford,Taurus,Overhead Camshaft,Manual,Black,"$69,001.",99301-3882,SUV,7270473,Pasco
C_CND_000114,9-Jan-2022,Itzel,Male,750000,Suburban Ford,Chevrolet,Cavalier,Overhead Camshaft,Manual,Pale White,"$20,001.",53546-9427,SUV,7281617,Janesville
C_CND_000115,9-Jan-2022,Yadiel,Male,451000,McKinney Dodge Chrysler Jeep,Audi,A4,Double Overhead Camshaft,Auto,Black,"$27,000.",85257-3102,Hardtop,7824922,Austin
C_CND_000116,9-Jan-2022,Joseph,Female,650000,U-Haul CO,Ford,Focus,Overhead Camshaft,Manual,Black,"$49,000.",78758-7841,Hardtop,8944331,Janesville
C_CND_000117,9-Jan-2022,Jake,Male,700000,Motor Vehicle Branch Office,Mitsubishi,Diamante,Overhead Camshaft,Manual,Black,"$49,000.",78758-7841,Hatchback,7757499,Austin
C_CND_000118,9-Jan-2022,James,Female,13500,Nebo Chevrolet,Lexus,GS400,Double Overhead Camshaft,Auto,Black,"$12,000.",06457-3834,Hatchback,6586288,Middletown
C_CND_000119,9-Jan-2022,Amiya,Female,1220000,Scrivener Performance Engineering,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,"$25,000.",38701-8047,Hatchback,8486170,Greenville
C_CND_000120,9-Jan-2022,Amiyah,Male,1300000,Star Enterprises Inc,Chrysler,Concorde,Double Overhead Camshaft,Auto,Pale White,"$42,000.",99301-3882,Hatchback,6732905,Pasco
C_CND_000121,9-Jan-2022,Angelina,Male,470000,Suburban Ford,Chrysler,Sebring Coupe,Double Overhead Camshaft,Auto,Pale White,"$19,000.",53546-9427,Sedan,7212279,Janesville
C_CND_000122,9-Jan-2022,Aniya,Female,1167500,Tri-State Mack Inc,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Pale White,"$26,750.",85257-3102,Hatchback,8144887,Scottsdale
C_CND_000123,9-Jan-2022,Benott,Male,3000000,Clay Johnson Auto Sales,Cadillac,Eldorado,Double Overhead Camshaft,Auto,Pale White,"$31,000.",78758-7841,Passenger,8668755,Austin
C_CND_000124,9-Jan-2022,Lucas,Male,1900000,Diehl Motor CO Inc,Saturn,LW,Overhead Camshaft,Manual,Pale White,"$49,000.",06457-3834,Hatchback,8892301,Middletown
C_CND_000125,9-Jan-2022,Clara,Female,1690000,Enterprise Rent A Car,Hyundai,Sonata,Overhead Camshaft,Manual,Black,"$15,000.",60504-7114,SUV,6238423,Aurora
C_CND_000126,9-Jan-2022,Clara,Male,2800000,Gartner Buick Hyundai Saab,Mercury,Sable,Double Overhead Camshaft,Auto,Pale White,"$26,000.",38701-8047,Sedan,7552575,Greenville
C_CND_000127,9-Jan-2022,Alexis,Male,642000,Suburban Ford,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Pale White,"$17,000.",53546-9427,Hardtop,6278363,Greenville
C_CND_000128,9-Jan-2022,Veronika,Female,705000,Pars Auto Sales,Volvo,C70,Overhead Camshaft,Manual,Pale White,"$24,000.",38701-8047,Hatchback,6323753,Pasco
C_CND_000129,9-Jan-2022,Victoria,Male,670000,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Metro,Double Overhead Camshaft,Auto,Pale White,"$19,000.",99301-3882,Passenger,8368721,Janesville
C_CND_000130,9-Jan-2022,Violet,Male,13500,Progressive Shippers Cooperative Association No,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,"$20,000.",53546-9427,Passenger,6328688,Scottsdale
C_CND_000131,10-Jan-2022,Izabella,Female,1985000,Tri-State Mack Inc,Acura,TL,Double Overhead Camshaft,Auto,Black,"$28,501.",85257-3102,Hatchback,6553517,Scottsdale
C_CND_000132,10-Jan-2022,Jason,Male,1275000,New Castle Ford Lincoln Mercury,BMW,323i,Double Overhead Camshaft,Auto,Pale White,"$15,500.",60504-7114,Hatchback,8070819,Aurora
C_CND_000133,10-Jan-2022,Aniyah,Male,13500,U-Haul CO,Plymouth,Voyager,Overhead Camshaft,Manual,Pale White,"$20,000.",78758-7841,Passenger,7541816,Austin
C_CND_000134,10-Jan-2022,Elise,Male,1650000,Hatfield Volkswagen,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,"$29,000.",99301-3882,Sedan,8368460,Pasco
C_CND_000135,10-Jan-2022,Vivian,Male,520500,Rabun Used Car Sales,Chrysler,Cirrus,Double Overhead Camshaft,Auto,Pale White,"$12,500.",85257-3102,Passenger,7578367,Austin
C_CND_000136,12-Jan-2022,Jacqueline,Female,500000,U-Haul CO,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,"$16,001.",78758-7841,SUV,6435654,Austin
C_CND_000137,12-Jan-2022,Jada,Male,1172500,Buddy Storbeck's Diesel Service Inc,Lexus,ES300,Double Overhead Camshaft,Auto,Pale White,"$27,250.",06457-3834,SUV,7906708,Middletown
C_CND_000138,12-Jan-2022,Jade,Male,441000,C & M Motors Inc,Dodge,Intrepid,Overhead Camshaft,Manual,Black,"$11,000.",60504-7114,Sedan,6536878,Aurora
C_CND_000139,12-Jan-2022,Jaelynn,Male,1310000,Capitol KIA,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,"$22,001.",38701-8047,Sedan,6374244,Greenville
C_CND_000140,12-Jan-2022,Jamie,Male,13500,Chrysler of Tri-Cities,Dodge,Avenger,Double Overhead Camshaft,Auto,Pale White,"$22,000.",99301-3882,Passenger,6500188,Pasco
C_CND_000141,12-Jan-2022,Janelle,Male,1200000,Chrysler Plymouth,Chevrolet,Corvette,Overhead Camshaft,Manual,Pale White,"$22,000.",53546-9427,SUV,8574162,Janesville
